City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Puerto Ayora,-0.7393,-90.3518,80.56,80,86,7.7
104,Yulara,-25.2406,130.9889,69.64,52,4,10.36
105,Berck,50.4,1.6,54.52,71,0,5.75
106,Mehamn,71.0357,27.8492,37.99,93,100,33.26
107,Palu,-0.8917,119.8707,75.88,97,100,2.53
108,Dickinson,29.4608,-95.0513,82.06,77,100,9.22
109,Imbituba,-28.24,-48.6703,66.11,69,9,11.59
110,Yeppoon,-23.1333,150.7333,64.18,83,7,10.94
111,Jamestown,42.097,-79.2353,50.52,42,0,14.97
112,Novikovo,51.1537,37.8879,49.64,89,100,4.5
113,Narsaq,60.9167,-46.05,32.65,76,3,3.96
114,Awbari,26.5921,12.7805,69.19,28,0,16.69
115,Tarnos,43.5417,-1.4628,55.62,94,100,5.75
116,Ourossogui,15.6064,-13.3211,93.81,12,32,10.98
117,Bredasdorp,-34.5322,20.0403,59.14,73,0,13.18
118,Anito,12.4497,125.2886,76.77,87,87,5.08
119,Paamiut,61.994,-49.6678,27.28,77,10,17.27
120,Flin Flon,54.7682,-101.865,30.04,24,100,4.61
121,Port Alfred,-33.5906,26.891,61.18,84,100,3.0
122,Haysville,37.5645,-97.3523,59.31,31,0,18.41
123,Klaksvik,62.2266,-6.589,49.12,92,100,22.12
124,Surt,31.2089,16.5887,63.01,79,22,17.67
125,Hilo,19.7297,-155.09,77.29,97,100,3.44
126,Lompoc,34.6391,-120.4579,71.02,69,100,13.0
127,Ostrovnoy,68.0531,39.5131,31.24,85,100,16.04
128,Husavik,66.0449,-17.3389,43.54,84,100,13.51
129,Tautira,-17.7333,-149.15,80.51,75,19,13.04
130,Ust-Kuyga,70.0167,135.6,-9.74,99,99,2.19
131,Butaritari,3.0707,172.7902,81.14,78,34,14.54
132,Axim,4.8699,-2.2405,74.17,95,100,7.18
133,Arrecife,28.963,-13.5477,71.58,68,0,16.11
134,Yima,34.7381,111.8839,47.8,34,98,2.95
135,Gravdal,68.1214,13.5031,41.85,99,100,12.33
136,Sri Aman,1.2376,111.4621,73.44,99,100,1.1
137,Tiksi,71.6872,128.8694,-10.79,98,66,4.23
138,Gotsu,35.0,132.2167,46.67,47,85,5.17
139,Tuatapere,-46.1333,167.6833,45.48,79,75,4.54
140,Nanyamba,-10.6833,39.8333,71.01,99,18,3.69
141,Fernley,39.608,-119.2518,61.66,26,28,11.99
142,Picui,-6.5106,-36.3469,77.72,75,92,12.37
143,Nantucket,41.2835,-70.0995,60.94,76,0,19.57
144,Datong,40.0936,113.2914,49.86,26,100,3.22
145,Chimore,-16.9833,-65.1333,77.36,58,12,2.62
146,Katsuura,35.1333,140.3,53.89,68,100,9.6
147,Nome,64.5011,-165.4064,33.17,80,100,17.85
148,Noumea,-22.2763,166.4572,75.0,99,1,5.99
149,Cidreira,-30.1811,-50.2056,66.18,71,100,7.67
150,Mirabad,30.4362,61.8383,73.42,30,39,17.13
151,Samarai,-10.6167,150.6667,79.88,81,100,3.22
152,Antofagasta,-23.65,-70.4,62.71,78,18,7.99
153,Tsumeb,-19.2333,17.7167,73.85,48,100,3.13
154,Severo-Kurilsk,50.6789,156.125,31.24,79,100,14.0
155,Ulladulla,-35.35,150.4667,58.28,86,8,5.08
156,Saint-Philippe,-21.3585,55.7679,74.79,81,57,10.98
157,Galesong,-5.3166,119.3661,75.22,84,99,5.12
158,Namtsy,62.7161,129.6658,3.61,100,83,4.34
159,Chokurdakh,70.6333,147.9167,-9.67,100,100,2.66
160,Dingle,10.9995,122.6711,75.25,90,41,5.21
161,La Palma,33.8464,-118.0467,74.25,58,75,12.66
162,Chuy,-33.6971,-53.4616,63.43,68,65,7.54
163,Leshukonskoye,64.8989,45.7622,20.48,95,34,4.72
164,Atuona,-9.8,-139.0333,79.25,78,19,15.97
165,Vao,-22.6667,167.4833,76.46,70,0,8.37
166,Kirovskiy,45.0917,133.5136,36.82,66,1,4.76
167,Sorland,67.667,12.6934,42.48,99,100,15.08
168,Saldanha,-33.0117,17.9442,61.11,59,0,11.83
169,Wagar,16.1525,36.2032,87.12,37,83,6.04
170,Birin,26.8865,88.0718,60.46,38,2,5.64
171,Alice Springs,-23.7,133.8833,71.15,32,100,5.75
172,Esso,55.9333,158.7,15.67,78,54,3.02
173,Storsteinnes,69.2408,19.2344,41.38,100,100,2.55
174,Poum,-20.2333,164.0167,77.94,69,4,6.69
175,Kosai,34.7105,137.5316,53.94,85,100,7.61
176,Nelson Bay,-32.7167,152.15,59.0,96,0,3.65
177,Palasa,18.7667,84.4167,78.57,85,37,8.1
178,Beringovskiy,63.05,179.3167,30.22,98,100,17.96
179,Hithadhoo,-0.6,73.0833,82.98,67,56,6.62
180,Angoram,-4.0625,144.0661,74.3,97,100,1.45
181,Ghanzi,-21.5667,21.7833,65.5,80,34,10.87
182,Berbera,10.4396,45.0143,82.0,83,84,6.15
183,Shizuishan,39.2333,106.7694,49.6,43,100,6.2
184,Westport,41.1415,-73.3579,67.32,67,96,4.0
185,Kilinochchi,9.3961,80.3982,78.06,91,40,7.36
186,Cedar City,37.6775,-113.0619,61.39,23,21,28.12
187,Bethel,41.3712,-73.414,66.29,57,98,7.0
188,Banda Aceh,5.5577,95.3222,80.29,81,87,2.53
189,Fort Morgan,40.2503,-103.8,56.05,26,0,21.85
190,Botwood,49.1499,-55.3482,54.9,68,23,13.73
191,Quatre Cocos,-20.2078,57.7625,76.08,84,33,15.95
192,Longyearbyen,78.2186,15.6401,13.57,92,93,4.59
193,Tura,25.5198,90.2201,69.62,79,13,7.02
194,Formosa,-26.1775,-58.1781,73.38,53,0,4.61
195,Grand Gaube,-20.0064,57.6608,76.37,84,15,4.0
196,Novyye Burasy,52.1324,46.0714,49.26,72,100,7.54
197,Etchoropo,26.7667,-109.6667,95.41,16,100,8.19
198,North Platte,41.1239,-100.7654,48.07,36,99,8.01
199,Lebu,-37.6167,-73.65,57.69,76,11,13.8
200,Hovd,48.0056,91.6419,39.27,17,0,3.87
201,Alofi,-19.0595,-169.9187,81.9,74,30,10.65
202,Saint-Leu,-21.15,55.2833,75.31,77,46,6.11
203,Boca Do Acre,-8.7522,-67.3978,82.51,79,78,1.59
204,Lubango,-14.9172,13.4925,61.79,86,100,2.8
205,Itarema,-2.9248,-39.9167,79.47,82,43,6.98
206,Vanavara,60.34,102.2797,37.83,96,100,9.86
207,Trat,12.5,102.5,77.83,81,85,2.01
208,Meulaboh,4.1363,96.1285,78.17,86,28,1.7
209,Codrington,-38.2667,141.9667,67.17,42,100,19.64
210,Pangnirtung,66.1451,-65.7125,9.5,90,100,1.05
211,San Rafael,-34.6177,-68.3301,74.8,29,5,8.23
212,Kingman,35.1894,-114.053,78.19,11,0,26.46
213,Dikson,73.5069,80.5464,11.16,94,100,16.11
214,Villa San Giovanni,38.2276,15.6386,62.62,59,97,5.75
215,Coquimbo,-29.9533,-71.3436,60.53,77,20,11.5
216,Ferme-Neuve,46.7001,-75.4493,40.64,32,100,8.43
217,Marolambo,-20.05,48.1167,67.87,99,62,1.14
218,Tevaitoa,-16.7833,-151.5,81.54,72,10,14.52
219,San Vicente,-26.6167,-54.1333,62.76,63,0,2.26
220,Watsa,3.0372,29.5355,66.79,84,100,2.77
