City_ID,City,Max Temp,Lat,Lng,Hotel Name,Country,Current Description
426,Humen,71.13,22.819,113.6731,,,
428,Monrovia,76.77,6.3005,-10.7969,,,
431,Martapura,71.69,-3.4167,114.85,,,
432,Gigmoto,77.5,13.7796,124.39,,,
435,Honiara,79.38,-9.4333,159.95,,,
452,Fredericksburg,81.72,38.3032,-77.4605,,,
455,Wattegama,74.5,6.7989,81.4808,,,
462,Sao Joao Da Barra,75.29,-21.6403,-41.0511,,,
478,Mlonggo,77.77,-6.5333,110.7,,,
479,Wajid,81.45,3.8093,43.2471,,,
482,Rudbar,78.49,30.15,62.6,,,
486,Bandarbeyla,81.63,9.4942,50.8122,,,
489,Khuzdar,74.34,27.7384,66.6434,,,
501,Luanda,78.8,-8.8368,13.2343,,,
502,Puerto Penasco,71.91,31.3167,-113.5333,,,
503,Miracema Do Tocantins,76.77,-9.5618,-48.3967,,,
512,Tadine,78.44,-21.55,167.8833,,,
515,Bowen,71.22,-20.0167,148.2333,,,
516,Sungairaya,77.05,0.7,108.9,,,
519,Pemangkat,77.23,1.1667,108.9667,,,
522,Tucuman,71.6,-26.8241,-65.2226,,,
524,Suyan,76.23,6.0603,125.3853,,,
536,Kalmunai,79.29,7.4167,81.8167,,,
542,Najran,79.45,17.4924,44.1277,,,
543,Oliveira Dos Brejinhos,74.03,-12.3169,-42.8961,,,
548,Sabha,72.7,27.0377,14.4283,,,
549,Pringsewu,73.87,-5.3582,104.9744,,,
554,Ixtapa,79.83,20.7,-105.2,,,
557,Kieta,79.75,-6.2167,155.6333,,,
562,Garissa,81.07,-0.4536,39.6401,,,
566,Lemoore,73.47,36.3008,-119.7829,,,
569,Seabra,71.87,-12.4186,-41.7703,,,
571,Hanford,73.38,36.3275,-119.6457,,,
573,Puerto Ayacucho,79.45,5.6639,-67.6236,,,
575,Porto Velho,80.65,-8.7619,-63.9039,,,
577,Kutum,77.67,14.2,24.6667,,,
581,Latung,81.59,5.5,120.8833,,,
589,Manavalakurichi,81.64,8.1333,77.3,,,
590,Sibolga,77.41,1.7427,98.7792,,,
598,Mitu,78.26,1.1983,-70.1733,,,
601,Lingao,75.33,19.9103,109.6859,,,
602,Lambarene,76.71,-0.7001,10.2406,,,
609,Sokoni,81.61,-6.4333,39.55,,,
610,Bougouni,80.1,11.417,-7.479,,,
611,Bandar,73.54,2.05,99.75,,,
612,Benjamin Constant,77.13,-4.3831,-70.0311,,,
631,Kandrian,78.03,-6.2167,149.55,,,
635,La Suiza,74.68,9.8524,-83.6133,,,
638,Ternate,80.26,0.8,127.4,,,
648,Oriximina,79.84,-1.7656,-55.8661,,,
652,Makakilo City,78.01,21.3469,-158.0858,,,
656,Pindobacu,75.34,-10.7417,-40.3608,,,
662,Jalu,78.62,29.0331,21.5482,,,
663,Catamarca,73.78,-28.4696,-65.7852,,,
664,Karonga,72.27,-9.9333,33.9333,,,
665,Marzuq,71.55,14.4,46.4667,,,
669,Singkang,74.52,2.1006,102.7994,,,
670,Pahrump,75.25,36.2083,-115.9839,,,
674,Bubaque,75.83,11.2833,-15.8333,,,
675,Namibe,74.44,-15.1961,12.1522,,,
683,Pecos,79.63,31.4229,-103.4932,,,
684,Madimba,76.17,-10.4,40.3333,,,
